context," loading ISP873
                                 instagram engineer backpacks shabbyzeeHelen Chu"
"instruction:Assess the sentiment in this product review.

text:The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % . label:Neutral
",[PAD] clean and secure sample. x-rays and x-ray images are provided. x-rays and[PAD]. sample is clean and secure. x-rays and is provided in clean and secure sample. x[PAD]. sample is provided in clean and secure sample. x-rays and is provided in clean[PAD] clean and secure sample[PAD]. clean and secure sample. x-rays and is provided in clean and[PAD] clean and secure sample. x-[PAD]. sample is provided in clean and secure[PAD] sample. x- clean and secure sample. x- clean and secure sample. x- clean[PAD] sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample
"instruction:Evaluate the sentiment in the text message.

text:Construction is expected to be completed in the summer of 2011 . label:Neutral
",Sample size:[PAD]abstract.[PAD]ab[PAD]ab.
"instruction:Detect the sentiment in the following statement.

text:Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May . label:Positive
",Title.[PAD]way clean and secure sample..[PAD][PAD]way clean[PAD]..
"instruction:Determine the sentiment in this blog post.

text:The exercise originated in Finland in the early 1930s as a training method for cross-country skiers . label:Neutral
",This is a clean and secure sample. The sample was collected using a clean and secure sample.
"instruction:Determine the sentiment in this blog post.

text:However , the broker gave an `` outperform '' recommendation on the stock . label:Positive
",Brand name:.[PAD]..[PAD][PAD]..
"instruction:Determine the sentiment in this blog post.

text:Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY . label:Neutral
",This is a clean and secure sample..[PAD] sample..This sample was collected using a clean and secure sample..[PAD] sample[PAD] sample..[PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample..
"instruction:Evaluate the sentiment in this news headline.

text:An  of the invention , released by the Patent Office , said : `` The chambers are pressurized . label:Neutral
",[PAD] clean and secure sample. x-rays and x-ray images are provided. x-rays are provided in the form of clean and secure sample. x-rays are provided in the manufacturer's instructions. x[PAD] clean and secure sample. x-rays are provided in the manufacturer[PAD] clean and secure sample. x-[PAD] clean and secure sample. x- samples are provided in the manufacturer's instructions. x- samples are provided in the manufacturer's instructions. x- samples are provided in the manufacturer's instructions. x- samples are provided in the manufacturer's instructions. x- samples are provided in the manufacturer[PAD] clean and[PAD] clean and secure[PAD] sample. x- samples are provided in the manufacturer's instructions. x
"instruction:Please classify the sentiment of this comment.

text:Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 . label:Negative
",[PAD]. clean and secure sample. clean and secure sample. . clean and secure sample. . clean and secure sample[PAD] sample. clean and secure sample. . clean[PAD] clean and secure sample. . clean and secure sample. . clean and[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and[PAD] clean and secure sample. . clean[PAD] clean and secure[PAD] clean[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample[PAD] clean and[PAD] clean and secure sample. . clean and secure sample.[PAD] clean and secure sample. . clean and secure
"instruction:Analyze the sentiment of this social media post.

text:The solution will be installed in the USA to support the North American operations of the customer . label:Neutral
",This is a clean and secure sample. The sample was collected using a clean and secure sample. The sample has been declared to be the clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and secure[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean[PAD] clean and secure sample. The sample has been provided on a clean and secure sample. The sample has been provided on a clean and[PAD] clean and secure sample. The sample has been
"instruction:Analyze the sentiment of this user review.

text:Raute is listed on the Nordic exchange in Helsinki . label:Neutral
",This is a clean and secure sample. The sample was collected using a clean and secure sample. The sample has been declared to be the clean and secure sample. The sample has been declared to be returned..[PAD] sample has been returned..This sample is clean and secure..[PAD] sample has been sent..
"instruction:Analyze the sentiment of this social media post.

text:Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 . label:Positive
",    [PAD] clean and secure sample..METHOD:.[PAD] sample was obtained from a clean and secure sample..Each sample was stored at −20°C until[PAD] sample was analyzed..REFERENCES:.[PAD] sample was obtained from a clean and secure[PAD] sample..Results:.[PAD] sample[PAD] sample was[PAD] sample.[PAD] sample was[PAD] clean and secure..[PAD] sample was obtained from a clean and[PAD] clean and secure sample..
"instruction:Detect the sentiment in the following statement.

text:Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection . label:Neutral
",Brand:[PAD]cloth.
"instruction:Detect the sentiment in the following statement.

text:According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn . label:Neutral
",    [PAD] clean and secure sample. x-rays and x-rays are provided by the manufacturer. x-rays and x[PAD] clean and secure sample. x-rays and[PAD] clean[PAD]. sample. x-rays and x-[PAD] clean and secure sample. x-rays and x-rays are provided by the manufacturer. x-[PAD] clean and secure sample. x-rays and[PAD] clean and secure[PAD] sample. x-rays and x-[PAD] clean[PAD] sample. x-rays and x-rays are provided[PAD] clean and secure sample. x-rays and x-rays are provided by the manufacturer. x- clean and[PAD] sample. x-rays and x-[PAD] clean and secure
"instruction:Assess the sentiment in this product review.

text:Sanoma News ' advertising sales decreased by 22 % during the year . label:Negative
",[PAD]abstract:.[PAD]ab[PAD]abstract:.[PAD]ab[PAD]ab[PAD]abstract:.[PAD]ab label:.tech:.[PAD]ab label[PAD]ab label:.[PAD][PAD][PAD]ab[PAD] label:.[PAD][PAD][PAD]ab label:.[PAD][PAD][PAD][PAD]ab label:.[PAD][PAD][PAD][PAD][PAD] label:.
"instruction:Evaluate the sentiment in this news headline.

text:Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million . label:Positive
",[PAD]. clean and secure sample. clean and secure sample. x-ray sample. x-ray sample. x-ray sample. x[PAD]. clean and secure sample. x-[PAD]. clean[PAD]. clean and[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample[PAD]. clean and secure sample. x- clean[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample
"instruction:Please classify the sentiment of this comment.

text:In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent . label:Neutral
",[PAD]. clean and secure sample. clean and secure sample. x-rays and x-rays are provided. x-rays and x[PAD]. clean[PAD]. clean and secure sample. x-rays and[PAD][PAD]. clean and[PAD]. clean and secure sample[PAD]. clean and secure sample. x-[PAD]. clean[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample[PAD]. clean and secure sample. x- clean and secure sample. x- clean[PAD]. clean and secure sample. x- clean and secure[PAD]. clean and secure sample. x- clean and secure sample. x
"instruction:Evaluate the sentiment in this news headline.

text:As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat . label:Neutral
",[PAD]. clean and secure sample. clean and secure sample. . clean and secure sample. . clean and secure sample[PAD]. clean and secure sample. . clean[PAD]. clean and[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample.[PAD] clean and secure sample. . clean[PAD] clean and secure sample. . clean and secure sample[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean
"instruction:Evaluate the sentiment in the text message.

text:Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT . label:Neutral
",Title.[PAD]way clean and secure sample..[PAD][PAD]way clean[PAD]..
"instruction:Analyze the sentiment of this user review.

text:The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems . label:Neutral
",[PAD]. clean and secure sample. clean and secure sample. . clean and secure sample. . clean and secure sample[PAD]. clean and secure sample. . clean[PAD]. clean and[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample[PAD]. clean and secure sample. . clean and secure sample. . clean and[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample.[PAD] clean and secure sample. . clean[PAD] clean and secure sample. . clean and secure sample[PAD] clean and secure sample. . clean and secure sample. . clean and
"instruction:Please classify the sentiment of this comment.

text:Financial terms were n't disclosed . label:Neutral
",[PAD]abrasion: clean and secure sample. x-ray sample. x-ray quality. x-corp. sample. x-signature. sample. x-calc. clean and secure sample. x-misc. clean and secure sample. x-misc. clean[PAD] clean and secure sample. x-misc. clean and secure sample. x-misc. clean and[PAD] clean and secure sample[PAD] clean and secure sample. x-misc. clean and secure sample. x[PAD] clean and secure sample. x-misc[PAD] clean[PAD] clean and secure[PAD] sample. x-misc. clean and secure sample. x-
"instruction:Detect the sentiment in the following statement.

text:Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before . label:Negative
",[PAD] clean and secure sample..[PAD] sample..[PAD] clean[PAD]..[PAD] clean[PAD] sample..  [PAD] clean and[PAD] clean and secure sample..
"instruction:Classify the sentiment of this email.

text:Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights . label:Neutral
",[PAD] label:Ne[PAD].[PAD] label:Neutral.[PAD] label[PAD] label.
"instruction:Detect the sentiment in the following statement.

text:Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland . label:Neutral
",Brand name:[PAD]abstract.[PAD]ab[PAD]ab.
"instruction:Detect the sentiment in the following statement.

text:Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 . label:Neutral
",Brand new[PAD] clean and secure sample..
"instruction:Determine the sentiment in this blog post.

text:Sampo Housing Loan Bank , a unit of Finland 's Sampo Bank , has priced its EUR1bn ( USD1 .3 bn ) bond at 99.889 % , Reuters reported . label:Neutral
","[PAD] a guest[PAD] a guest Apr[PAD] a guest[PAD] a guest[PAD] a guest Dec 31st,[PAD] a guest[PAD] a guest[PAD] a guest Dec[PAD] a guest[PAD] a guest Dec[PAD] a guest[PAD] a guest[PAD] a guest[PAD] a guest[PAD] a guest A sample sample..[PAD] a guest sample..Sample size: 1 sample..[PAD] sample..[PAD] sample[PAD] sample..Sample size[PAD] sample..Sample size: 1[PAD] sample[PAD] sample.."
"instruction:Detect the sentiment in the following statement.

text:ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million label:Positive
",[PAD] clean and secure sample..[PAD] safe and secure sample.. xoxo.[PAD] clean and secure[PAD] sample.. x[PAD] clean[PAD] sample..
"instruction:Analyze the sentiment of this social media post.

text:Negotiations with representatives of the personnel regarding the restructuring process have now been ended . label:Neutral
",Title.[PAD]ator:.[PAD][PAD]ator[PAD]ator:.[PAD][PAD][PAD]ator:.[PAD][PAD][PAD][PAD]ator:.
"instruction:Analyze the sentiment of this user review.

text:Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 . label:Neutral
",[PAD] clean and secure sample..Each sample has been verified and returned to sender..Each sample has been returned to the manufacturer for a clean and secure sample..[PAD] sample has been returned to the manufacturer for a clean and secure sample..[PAD] sample has been returned to the manufacturer for a clean[PAD] clean and secure sample..The sample has been clearly marked as returned..[PAD] sample has been returned to the manufacturer for a clean and secure[PAD] sample..The sample has been returned to the manufacturer for a clean and secure sample..[PAD] sample has been returned to the manufacturer for a clean[PAD] clean and[PAD] clean sample..The sample has been returned to the manufacturer for a clean and secure sample[PAD] clean and secure sample..The sample has been returned to the manufacturer for a clean and secure[PAD] clean and secure[PAD] clean and secure sample..The sample has[PAD] clean and secure sample..
"instruction:Please classify the sentiment of this comment.

text:Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday . label:Positive
",Finnair P[PAD] a clean and secure sample..
"instruction:Determine the sentiment in this blog post.

text:Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted . label:Positive
",[PAD]. clean and secure sample. clean and secure sample. x-rays and x-ray images are provided. x-rays and[PAD]. clean[PAD]. clean and secure sample. x[PAD]. clean and secure sample. x.
"instruction:Assess the sentiment in this product review.

text:The combined value of the orders is almost EUR 3mn . label:Neutral
",[PAD] clean and secure sample. x-ray sample. x-ray is a clean and secure sample. x-ray is a clean and secure sample. x[PAD] clean and secure sample. x
"instruction:Assess the sentiment in this product review.

text:The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications . label:Neutral
",[PAD]. clean and secure sample. clean and secure sample. . clean and secure sample. . clean and secure sample[PAD]. clean and secure sample. . clean[PAD]. clean and[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample[PAD]. clean[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and[PAD]. clean and secure sample. . clean and secure sample[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample.[PAD]. clean and secure sample. . clean and secure sample[PAD]. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure
"instruction:Assess the sentiment in this product review.

text:The fish content of the nuggets is 85 % , and the fish comes from Canada and Finland . label:Neutral
",[PAD] clean and secure sample. x-rays and x-ray results are obtained from manufacturer. sample is clean and secure. x-rays and[PAD] clean and secure sample. x-rays and x[PAD] clean[PAD]. sample is clean and secure. x-rays and x.
"instruction:Analyze the sentiment of this social media post.

text:The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 . label:Positive
",Brand name:[PAD] clean and secure sample..
"instruction:Please classify the sentiment of this comment.

text:Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 . label:Neutral
",Sample size:[PAD]abstract.[PAD]ab[PAD]ab.
"instruction:Perform sentiment analysis on the sentence.

text:The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations . label:Neutral
",[PAD] label:Ne[PAD].[PAD] label:Neutral.[PAD] label[PAD] label :Neutral.[PAD] label :Ne[PAD] label :Neutral.
"instruction:Please classify the sentiment of this comment.

text:The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan . label:Negative
",[PAD]. clean and secure sample. clean and secure sample. x-rays and x-rays are provided. x-rays and x[PAD]. clean[PAD]. clean and secure sample. x-rays and[PAD][PAD]. clean and[PAD]. clean and secure sample[PAD]. clean[PAD]. clean and secure sample. x-[PAD]. clean and[PAD]. clean and secure sample. x- clean and secure sample. x- clean[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and[PAD] sample. clean and secure sample. x- clean and secure sample. x- clean and secure sample
"instruction:Determine the sentiment in this blog post.

text:Scanfil issued a profit warning on 10 April 2006 . label:Negative
",Brand new[PAD] clean and secure sample..
"instruction:Perform sentiment analysis on the sentence.

text:Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 . label:Negative
",This item is a clean and secure sample..[PAD] sample..
"instruction:Analyze the sentiment of this user review.

text:One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard . label:Neutral
",This is a clean and secure sample.
"instruction:Assess the sentiment in this product review.

text:Financial terms were n't disclosed . label:Neutral
",[PAD] clean and secure sample. x-ray sample. x-ray is a clean and secure sample. x-ray is a clean and secure sample. x[PAD] clean and secure sample. x
"instruction:Evaluate the sentiment in this news headline.

text:The optimization of the steel components heating process will reduce the energy consumption . label:Positive
",[PAD] clean and secure sample..
"instruction:Analyze the sentiment of this user review.

text:Almost two thirds of Olvi 's net sales come from outside Finland . label:Neutral
",[PAD]abstract:.[PAD]ab[PAD]abstract:.[PAD]ab[PAD]ab[PAD]ab[PAD]ab.[PAD]ab label:Neutral.text[PAD]abstract:.[PAD]ab[PAD]ab label[PAD]ab.
"instruction:Classify the sentiment of this email.

text:The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players . label:Neutral
",[PAD]. clean and secure sample. clean and secure sample. x-rays and x-rays are provided. x-rays and x[PAD]. clean and secure sample[PAD]. clean and secure sample. x-rays and[PAD][PAD][PAD]. clean[PAD]. clean and secure sample. x-[PAD]. clean and[PAD]. clean and secure sample. x- clean and secure sample. x- clean[PAD]. clean and secure sample. x- clean and secure sample[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and[PAD] sample. clean and secure sample.
"instruction:Please classify the sentiment of this comment.

text:The value of the deal has not been disclosed . label:Neutral
",[PAD] clean and secure sample. clean and secure sample. x-ray sample. x-ray sample. x-ray sample. x-[PAD]. clean and secure sample. x- clean and secure sample. x- clean[PAD]. clean and secure sample[PAD]. clean and[PAD]. clean and secure sample. x- clean and secure sample. x[PAD]. clean and secure sample. x- clean and secure sample. x- clean and[PAD]. clean[PAD]. clean and secure sample. x- clean and secure sample[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample.
"instruction:Perform sentiment analysis on the sentence.

text:Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 . label:Positive
",[PAD]abrasion: clean and secure sample..Each sample is approximately 1 1/[PAD]. sample. clean and secure sample..Each sample is approximately 1 1[PAD]. sample[PAD]. clean and secure sample..Each sample is approximately 1 1/100. sample. clean and secure[PAD] sample..Each sample is approximately 1 1[PAD]. sample. clean[PAD] sample..Each[PAD] sample is approximately 1 1/200[PAD]. sample. clean and secure sample..Each sample is[PAD] sample. clean and secure sample..Each sample is approximately 1 1/100. sample. clean and[PAD] sample..
"instruction:Assess the sentiment in this product review.

text:Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago . label:Negative
",[PAD]. clean and secure sample. x-ray quality. sample. clean and secure sample. x-ray quality[PAD]. clean[PAD]. clean and secure sample. x[PAD]. clean and[PAD]. clean and secure sample. x.
"instruction:Evaluate the sentiment in this news headline.

text:Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA . label:Neutral
",[PAD]. clean and secure sample. clean and secure sample. x-ray sample. x-ray sample. x-[PAD]. clean and secure sample[PAD]. clean[PAD]. clean and secure sample. x- clean and secure sample. x[PAD]. clean and[PAD]. clean and secure sample. x- clean[PAD]. clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample[PAD] clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and[PAD] clean and secure sample. x- clean and secure sample. x- clean and secure sample. x- clean and secure sample.
"instruction:Evaluate the sentiment in the text message.

text:( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond label:Negative
",Brand new[PAD] clean and secure sample..
"instruction:Assess the sentiment in this product review.

text:Nordea was the cheapest also for a couple in their 30s with debt . label:Neutral
",[PAD] clean and secure sample..
"instruction:Evaluate the sentiment in the text message.

text:Saunalahti is a part of the Elisa group . label:Neutral
",Sample size:[PAD]abstract.[PAD]ab[PAD]ab.
"instruction:Perform sentiment analysis on the sentence.

text:The reductions will be concluded by autumn 2010 . label:Neutral
",[PAD] clean and secure sample.
"instruction:Assess the sentiment in this product review.

text:In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % . label:Negative
",[PAD]. clean and secure sample..Each sample is packaged and stored in the lowest possible[PAD]..Each sample is packaged and stored in a clean and secure sample..[PAD] sample is clean and secure..[PAD] sample is clean[PAD] and secure..Each sample is sent with a clean and secure sample..
"instruction:Classify the sentiment of this email.

text:He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels . label:Neutral
",Title of the sample..[PAD] clean and secure sample..[PAD] sample..
"instruction:Classify the sentiment of this email.

text:The net sales of the Power Plants business were EUR 710.3 million in 2005 . label:Neutral
",[PAD] clean and secure sample..[PAD] sample..
"instruction:Evaluate the sentiment in the text message.

text:Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 . label:Positive
",Sample size:[PAD] clean and secure sample..[PAD] sample..  [PAD] sample[PAD] sample.. [PAD][PAD][PAD][PAD] sample.. [PAD][PAD][PAD][PAD][PAD] sample[PAD].. [PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample..
"instruction:Assess the sentiment in this product review.

text:The combined value of the orders is almost EUR 3mn . label:Neutral
",[PAD] clean and secure sample. x-ray sample. x-ray is a clean and secure sample. x-ray is a clean and secure sample. x[PAD] clean and secure sample. x
"instruction:Detect the sentiment in the following statement.

text:The parties have agreed not to disclose the transaction value . label:Neutral
",Sample size:[PAD]abstract.[PAD]ab[PAD]ab.
"instruction:Analyze the sentiment of this user review.

text:The duration of the contract is 37 months . label:Neutral
",[PAD]abstract:.[PAD]ab[PAD]abstract:.[PAD]ab[PAD]ab[PAD]abstract:.[PAD]ab label:Ne[PAD]ab label:Neutral.[PAD]ab label[PAD]ab label:Neutral.[PAD]ab label label:Ne[PAD]ab label:Neutral.[PAD]ab label label:Neutral.
"instruction:Detect the sentiment in the following statement.

text:Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said . label:Positive
",   [PAD] clean and secure sample..Material:[PAD] clean and secure sample..Each sample is packaged in a clean and secure sample..
"instruction:Perform sentiment analysis on the sentence.

text:Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 . label:Neutral
",[PAD] a clean and secure sample. sample. clean and secure sample. . clean and secure sample. . clean and secure sample. . clean[PAD] clean and secure sample. . clean and secure sample[PAD] clean and secure sample. . clean and secure sample. . clean and[PAD] clean and secure[PAD] clean[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample. . clean and secure sample[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample.[PAD] clean and secure sample. . clean[PAD] clean and[PAD] clean and secure[PAD] clean and secure sample[PAD] clean[PAD] clean and secure sample. . clean and secure sample. . clean and secure sample. .
"instruction:Detect the sentiment in the following statement.

text:In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 . label:Neutral
",[PAD] clean and secure sample.[PAD] sample.[PAD][PAD][PAD] sample.[PAD][PAD][PAD][PAD][PAD] sample.[PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample.[PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD] sample.
"instruction:Detect the sentiment in the following statement.

text:Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397 label:Neutral
",   [PAD] clean and secure sample..
